OID,Objective Name,SDID,Status,Program,SD Name
O-000001,Aeroplane,SD-000001,Active,2D Matching,Identical
O-000002,Apple,SD-000001,Active,2D Matching,Identical
O-000003,Ball,SD-000001,Active,2D Matching,Identical
O-000004,Banana,SD-000001,Active,2D Matching,Identical
O-000005,Bath,SD-000001,Active,2D Matching,Identical
O-000006,Bed,SD-000001,Active,2D Matching,Identical
O-000007,Bike,SD-000001,Active,2D Matching,Identical
O-000008,Block,SD-000001,Active,2D Matching,Identical
O-000009,Bowl,SD-000001,Active,2D Matching,Identical
O-000010,Bread,SD-000001,Active,2D Matching,Identical
O-000011,Bus,SD-000001,Active,2D Matching,Identical
O-000012,Car,SD-000001,Active,2D Matching,Identical
O-000013,Cat,SD-000001,Active,2D Matching,Identical
O-000014,Chair,SD-000001,Active,2D Matching,Identical
O-000015,Cow,SD-000001,Active,2D Matching,Identical
O-000016,Cup,SD-000001,Active,2D Matching,Identical
O-000017,Dog,SD-000001,Active,2D Matching,Identical
O-000018,Drink Bottle,SD-000001,Active,2D Matching,Identical
O-000019,Fish,SD-000001,Active,2D Matching,Identical
O-000020,Flower,SD-000001,Active,2D Matching,Identical
O-000021,Fork,SD-000001,Active,2D Matching,Identical
O-000022,Fridge,SD-000001,Active,2D Matching,Identical
O-000023,Frog,SD-000001,Active,2D Matching,Identical
O-000024,Horse,SD-000001,Active,2D Matching,Identical
O-000025,Jumper,SD-000001,Active,2D Matching,Identical
O-000026,Mouse,SD-000001,Active,2D Matching,Identical
O-000027,Nappy,SD-000001,Active,2D Matching,Identical
O-000028,Pig,SD-000001,Active,2D Matching,Identical
O-000029,Pillow,SD-000001,Active,2D Matching,Identical
O-000030,Plate,SD-000001,Active,2D Matching,Identical
O-000031,Shorts,SD-000001,Active,2D Matching,Identical
O-000032,Sink,SD-000001,Active,2D Matching,Identical
O-000033,Socks,SD-000001,Active,2D Matching,Identical
O-000034,Spoon,SD-000001,Active,2D Matching,Identical
O-000035,Table,SD-000001,Active,2D Matching,Identical
O-000036,Train,SD-000001,Active,2D Matching,Identical
O-000037,Tree,SD-000001,Active,2D Matching,Identical
O-000038,T-Shirt,SD-000001,Active,2D Matching,Identical
O-000039,Various,SD-000001,Active,2D Matching,Identical
O-000040,Generalised,SD-000001,Active,2D Matching,Identical
O-000041,Aeroplane,SD-000002,Active,2D Matching,Non-Identical
