"SDID","SD: SD Name","Status","Area","PID","SD Description","Stage"
"SD-000001","1 person","Active","Abstract Concepts","P-000032","enter something here","Stage Two"
"SD-000002","1 step","Active","Imitation","P-000064","describe the SD briefly","Stage Two"
"SD-000003","2 items","Active","Receptive Language","P-000022","","Stage Two"
"SD-000004","2 step rec. instr.","Active","Receptive Language","P-000157","","Stage Two"
"SD-000005","2 step rec. play instr.","Active","Receptive Language","P-000159","","Stage Two"
"SD-000006","2 steps","Active","Imitation","P-000064","","Stage Two"
"SD-000007","2D Receptive","Active","Receptive Language","P-000158","","Stage One"
"SD-000008","3 step rec. instr.","Active","Receptive Language","P-000157","","Stage Three"
"SD-000009","3 step rec. play instr.","Active","Receptive Language","P-000159","","Stage Three"
"SD-000010","3 steps","Active","Imitation","P-000064","","Stage Two"
"SD-000011","3D Receptive","Active","Receptive Language","P-000158","","Stage One"
"SD-000012","4 step rec.instr","Active","Receptive Language","P-000157","","Stage Three"
"SD-000013","Action","Active","Social Play Skills","P-000049","","Stage Two"
"SD-000014","Action","Active","","P-000050","",""
"SD-000015","Action w item","Active","Social Play Skills","P-000049","","Stage Two"
"SD-000016","Action with object","Active","Imitation","P-000113","","Stage One"
"SD-000017","Actions","Active","Speech","P-000171","","Stage Three"
"SD-000018","Activities on Day","Active","Abstract Concepts","P-000023","","Stage Three"
"SD-000019","Activity","Active","Self-Care","P-000045","","Stage Two"
"SD-000020","Activity","Active","Play Skills","P-000048","","Stage One"
"SD-000021","Activity","Active","Kinder Readiness","P-000065","","Stage Two"
"SD-000022","Activity","Active","Play-Skills","P-000086","","Stage Two"
"SD-000023","Activity","Active","Play Skills","P-000132","","Stage One"
"SD-000024","Activity","Active","Play Skills","P-000008","","Stage Two"
"SD-000025","Activity","Active","Play Skills","P-000097","","Stage One"
"SD-000026","Activity with distraction","Active","School Readiness","P-000230","","Stage Three"
"SD-000027","Adjusting vol. due proximity","Active","Conversation","P-000216","","Stage Four"
"SD-000028","Analogue","Active","Abstract Concepts","P-000199","","Stage Three"
"SD-000029","Between 2 people","Active","Learning to Learn","P-000032","","Stage One"
"SD-000030","Book w model","Active","Expressive Language","P-000062","","Stage Two"
"SD-000031","Book w/o model","Active","Expressive Language","P-000062","","Stage Two"
"SD-000032","Brainstorm","Active","Abstract Concepts","P-000014","","Stage Four"
"SD-000033","Brainstorming","Active","Conversation","P-000025","","Stage Two"
"SD-000034","Brainstorming","Active","Abstract Concepts","P-000035","","Stage Four"
"SD-000035","Brainstorming","Active","Expressive Language","P-000071","","Stage Two"
"SD-000036","Break Card","Active","Communication","P-000021","","Stage One"
"SD-000037","Brushing teeth","Active","Self-Care","P-000207","","Stage One"
"SD-000038","Call name","Active","Receptive Language","P-000165","","Stage Two"
"SD-000039","Category exclusion (expressive)","Active","Expressive reasoning","P-000059","","Stage Four"
"SD-000040","Challenging situation","Active","Social Play Skills","P-000009","","Stage Three"
"SD-000041","Change aspect of play","Active","Play Skills","P-000133","","Stage Two"
"SD-000042","Chart","Active","School Readiness","P-000167","","Stage Three"
"SD-000043","Child gives clues","Active","Expressive reasoning","P-000087","","Stage Four"
"SD-000044","Child Guessing","Active","","P-000087","",""
"SD-000045","Client Preposition","Active","Abstract Concepts","P-000140","","Stage Two"
"SD-000046","Close ended task","Active","Social Play Skills","P-000210","","Stage Two"
"SD-000047","Colour","Active","Matching","P-000001","","Stage One"
"SD-000048","Colour/shape","Active","Matching","P-000001","","Stage One"
"SD-000049","Colouring","Active","Play Skills","P-000008","","Stage Two"
"SD-000050","Colours","Active","Matching","P-000186","","Stage One"
"SD-000051","Comm. opportunity","Active","Communication","P-000103","","Stage One"
"SD-000052","Comment w gaze","Active","Learning to Learn","P-000102","","Stage Two"
"SD-000053","Comment w point","Active","Learning to Learn","P-000102","","Stage Two"
"SD-000054","Communication opportunity","Active","Communication","P-000034","","Stage One"
"SD-000055","Communication opportunity","Active","Communication","P-000128","","Stage One"
"SD-000056","Communication opportunity","Active","Communication","P-000144","","Stage One"
"SD-000057","Communication opportunity","Active","Communication","P-000143","","Stage One"
"SD-000058","Contextual","Active","Expressive Language","P-000215","","Stage Four"
"SD-000059","Contextual Instruction","Active","","P-000125","","Stage One"
"SD-000060","Contingency","Active","Learning to Learn","P-000068","","Stage Two"
"SD-000061","Count (items)","Active","Kinder Readiness","P-000122","","Stage Two"
"SD-000062","Cutting","Active","Play Skills","P-000008","","Stage Two"
"SD-000063","Cutting and Pasting Activity","Active","Play Skills","P-000008","","Stage Two"
"SD-000064","Cutting on line","Active","Play Skills","P-000008","","Stage Two"
"SD-000065","CV - VI","Active","Speech","P-000212","","Stage One"
"SD-000066","Daily living task","Active","Self-Care","P-000173","","Stage One"
"SD-000067","Demonstration","Active","Abstract Concepts","P-000057","","Stage Two"
"SD-000068","Digital","Active","Abstract Concepts","P-000199","","Stage Three"
"SD-000069","Do (activity)","Active","Learning to Learn","P-000196","","Stage One"
"SD-000070","Do schedule","Active","School Readiness","P-000214","","Stage Three"
"SD-000071","Draw","Active","","P-000052","",""
"SD-000072","Drawing","Active","","P-000008","",""
"SD-000073","Eat food","Active","","P-000070","",""
"SD-000074","Emotions Brainstorming","Active","","P-000040","",""
"SD-000075","Engage in activity","Active","Play Skills","P-000098","","Stage Two"
"SD-000076","Engage in activity","Active","Social Play Skills","P-000136","","Stage Two"
"SD-000077","Engage In Strategy","Active","","P-000235","",""
"SD-000078","Exp. function","Active","Language","P-000121","","Stage Three"
"SD-000079","Exp. I/you (what)","Active","Abstract Concepts","P-000150","","Stage Three"
"SD-000080","Exp. I/You (who)","Active","Abstract Concepts","P-000150","","Stage Three"
"SD-000081","Exp. item. prep. loc.","Active","Abstract Concepts","P-000140","","Stage Two"
"SD-000082","Exp. label","Active","Conversation","P-000090","","Stage Three"
"SD-000083","Exp. labels PLQ","Active","Expressive Language","P-000142","","Stage Two"
"SD-000084","Exp. location","Active","Conversation","P-000090","","Stage Three"
"SD-000085","Exp. My/Your","Active","Abstract Concepts","P-000150","","Stage Three"
"SD-000086","Exp. non-visual","Active","Abstract Concepts","P-000123","","Stage Four"
"SD-000087","Exp. our/their","Active","Abstract Concepts","P-000150","","Stage Three"
"SD-000088","Exp. past tense","Active","Language","P-000126","","Stage Three"
"SD-000089","Exp. person","Active","Conversation","P-000090","","Stage Three"
"SD-000090","Exp. prep. location","Active","Abstract Concepts","P-000140","","Stage Two"
"SD-000091","Exp. We/they/I/You","Active","Abstract Concepts","P-000150","","Stage Three"
"SD-000092","Exposure","Active","","P-000057","",""
"SD-000093","EXPOSURE","Active","Communication","P-000147","","Stage One"
"SD-000094","Exposure","Active","Receptive Language","P-000121","","Stage Two"
"SD-000095","Exposure","Active","","P-000227","",""
"SD-000096","Exposure","Active","Abstract Concepts","P-000140","","Stage Two"
"SD-000097","Exposure","Active","Abstract Concepts","P-000010","","Stage Two"
"SD-000098","Exposure","Active","Play Skills","P-000011","","Stage Two"
"SD-000099","Exposure","Active","Social Play Skills","P-000017","","Stage Three"
"SD-000100","Exposure","Active","Abstract Concepts","P-000025","","Stage Two"
"SD-000101","Exposure","Active","Play Skills","P-000030","","Stage Two"
"SD-000102","Exposure","Active","Abstract Concepts","P-000037","","Stage Four"
"SD-000103","Exposure","Active","Abstract Concepts","P-000038","","Stage Two"
"SD-000104","Exposure","Active","School Readiness","P-000046","","Stage Three"
"SD-000105","Exposure","Active","Expressive Language","P-000047","","Stage Four"
"SD-000106","Exposure","Active","Communication","P-000103","","Stage One"
"SD-000107","Exposure","Active","Abstract Concepts","P-000123","","Stage Two"
"SD-000108","Exposure","Active","Social Play Skills","P-000135","","Stage Two"
"SD-000109","Exposure","Active","Communication","P-000177","","Stage One"
"SD-000110","Exposure","Active","Play Skills","P-000184","","Stage One"
"SD-000111","Exposure","Active","Self-Care","P-000207","","Stage One"
"SD-000112","Exposure","Active","School Readiness","P-000211","","Stage Three"
"SD-000113","Exposure","Active","","P-000213","","Stage Three"
"SD-000114","Exposure","Active","Speech","P-000124","","Stage One"
"SD-000115","Exposure","Active","Speech","P-000007","","Stage Two"
"SD-000116","Exposure","Active","Abstract Concepts","P-000014","","Stage Two"
"SD-000117","Exposure","Active","Receptive Language","P-000107","","Stage One"
"SD-000118","Exposure","Active","Receptive Language","P-000060","","Stage One"
"SD-000119","Exposure","Active","Learning to Learn","P-000195","","Stage One"
"SD-000120","Expressive","Active","Expressive Language","P-000130","","Stage Two"
"SD-000121","Expressive","Active","","P-000028","",""
"SD-000122","Expressive","Active","Expressive Language","P-000004","","Stage Two"
"SD-000123","Expressive","Active","Abstract Concepts","P-000010","","Stage Three"
"SD-000124","Expressive","Active","Expressive Language","P-000018","","Stage Two"
"SD-000125","Expressive","Active","Expressive Language","P-000019","","Stage Two"
"SD-000126","Expressive","Active","Abstract Concepts","P-000023","","Stage Three"
"SD-000127","Expressive","Active","Abstract Concepts","P-000029","","Stage Two"
