Name,OID,Status,SDID,SD Name
Aeroplane,O-000634,Active,SD-000210,Identical
Apple,O-000741,Active,SD-000210,Identical
Ball,O-000918,Active,SD-000210,Identical
Banana,O-000949,Active,SD-000210,Identical
Bath,O-001003,Active,SD-000210,Identical
Bed,O-001050,Active,SD-000210,Identical
Bike,O-001108,Active,SD-000210,Identical
Block,O-001164,Active,SD-000210,Identical
Bowl,O-001286,Active,SD-000210,Identical
Bread,O-001309,Active,SD-000210,Identical
Bus,O-001394,Active,SD-000210,Identical
Car,O-001469,Active,SD-000210,Identical
Cat,O-001521,Active,SD-000210,Identical
Chair,O-001572,Active,SD-000210,Identical
Cow,O-001837,Active,SD-000210,Identical
Cup,O-001897,Active,SD-000210,Identical
Dog,O-002108,Active,SD-000210,Identical
Drink Bottle,O-002204,Active,SD-000210,Identical
Fish,O-002712,Active,SD-000210,Identical
Flower,O-002739,Active,SD-000210,Identical
Fork,O-002790,Active,SD-000210,Identical
Fridge,O-002807,Active,SD-000210,Identical
Frog,O-002827,Active,SD-000210,Identical
Horse,O-003523,Active,SD-000210,Identical
Jumper,O-003905,Active,SD-000210,Identical
Mouse,O-004316,Active,SD-000210,Identical
Nappy,O-004421,Active,SD-000210,Identical
Pig,O-004958,Active,SD-000210,Identical
Pillow,O-004981,Active,SD-000210,Identical
Plate,O-005034,Active,SD-000210,Identical
Shorts,O-005655,Active,SD-000210,Identical
Sink,O-005762,Active,SD-000210,Identical
Socks,O-005877,Active,SD-000210,Identical
Spoon,O-005939,Active,SD-000210,Identical
Table,O-006238,Active,SD-000210,Identical
Train,O-006558,Active,SD-000210,Identical
Tree,O-006610,Active,SD-000210,Identical
T-Shirt,O-006135,Active,SD-000210,Identical
Various,O-006810,Active,SD-000210,Identical
Generalised,O-002923,Active,SD-000210,Identical
Aeroplane,O-000635,Active,SD-000286,Non-Identical
Apple,O-000742,Active,SD-000286,Non-Identical
Ball,O-000919,Active,SD-000286,Non-Identical
Banana,O-000950,Active,SD-000286,Non-Identical
Bath,O-001004,Active,SD-000286,Non-Identical
Bed,O-001051,Active,SD-000286,Non-Identical
Bike,O-001109,Active,SD-000286,Non-Identical
Block,O-001165,Active,SD-000286,Non-Identical
Bowl,O-001287,Active,SD-000286,Non-Identical
Bread,O-001310,Active,SD-000286,Non-Identical
Bus,O-001395,Active,SD-000286,Non-Identical
Car,O-001470,Active,SD-000286,Non-Identical
Cat,O-001522,Active,SD-000286,Non-Identical
Chair,O-001573,Active,SD-000286,Non-Identical
Cow,O-001838,Active,SD-000286,Non-Identical
Cup,O-001898,Active,SD-000286,Non-Identical
Dog,O-002109,Active,SD-000286,Non-Identical
Drink Bottle,O-002205,Active,SD-000286,Non-Identical
Fish,O-002713,Active,SD-000286,Non-Identical
Flower,O-002740,Active,SD-000286,Non-Identical
Fork,O-002791,Active,SD-000286,Non-Identical
Fridge,O-002808,Active,SD-000286,Non-Identical
Frog,O-002828,Active,SD-000286,Non-Identical
Horse,O-003524,Active,SD-000286,Non-Identical
Jumper,O-003906,Active,SD-000286,Non-Identical
Mouse,O-004317,Active,SD-000286,Non-Identical
Nappy,O-004422,Active,SD-000286,Non-Identical
Pig,O-004959,Active,SD-000286,Non-Identical
Pillow,O-004982,Active,SD-000286,Non-Identical
Plate,O-005035,Active,SD-000286,Non-Identical
Shorts,O-005656,Active,SD-000286,Non-Identical
Sink,O-005763,Active,SD-000286,Non-Identical
Socks,O-005878,Active,SD-000286,Non-Identical
Spoon,O-005940,Active,SD-000286,Non-Identical
Table,O-006239,Active,SD-000286,Non-Identical
Train,O-006559,Active,SD-000286,Non-Identical
Tree,O-006611,Active,SD-000286,Non-Identical
T-Shirt,O-006136,Active,SD-000286,Non-Identical
Various,O-006811,Active,SD-000286,Non-Identical
Generalised,O-002924,Active,SD-000286,Non-Identical
Aeroplane,O-000636,Active,SD-000211,Identical
Apple,O-000743,Active,SD-000211,Identical
Ball,O-000920,Active,SD-000211,Identical
Banana,O-000951,Active,SD-000211,Identical
Bath,O-001005,Active,SD-000211,Identical
Bed,O-001052,Active,SD-000211,Identical
Bike,O-001110,Active,SD-000211,Identical
Block,O-001166,Active,SD-000211,Identical
Bowl,O-001288,Active,SD-000211,Identical
Bread,O-001311,Active,SD-000211,Identical
Bus,O-001396,Active,SD-000211,Identical
Car,O-001471,Active,SD-000211,Identical
Cat,O-001523,Active,SD-000211,Identical
Chair,O-001574,Active,SD-000211,Identical
Cow,O-001839,Active,SD-000211,Identical
Cup,O-001899,Active,SD-000211,Identical
Dog,O-002110,Active,SD-000211,Identical
Drink Bottle,O-002206,Active,SD-000211,Identical
Fish,O-002714,Active,SD-000211,Identical
Flower,O-002741,Active,SD-000211,Identical
Fork,O-002792,Active,SD-000211,Identical
Fridge,O-002809,Active,SD-000211,Identical
Frog,O-002829,Active,SD-000211,Identical
Horse,O-003525,Active,SD-000211,Identical
Jumper,O-003907,Active,SD-000211,Identical
Mouse,O-004318,Active,SD-000211,Identical
Nappy,O-004423,Active,SD-000211,Identical
Pig,O-004960,Active,SD-000211,Identical
Pillow,O-004983,Active,SD-000211,Identical
Plate,O-005036,Active,SD-000211,Identical
Shorts,O-005657,Active,SD-000211,Identical
Sink,O-005764,Active,SD-000211,Identical
Socks,O-005879,Active,SD-000211,Identical
Spoon,O-005941,Active,SD-000211,Identical
Table,O-006240,Active,SD-000211,Identical
Train,O-006560,Active,SD-000211,Identical
Tree,O-006612,Active,SD-000211,Identical
