Name,OID__c,Status__c,SDID__c,SD_Name__c,Dummy
Zz,O-007469,Active,SD-000270,Matching different cases,X
zū,O-007468,Active,SD-000065,CV - VI,
zŭ,O-007467,Active,SD-000065,CV - VI,
Zoo Keeper,O-007466,Active,SD-000216,Imaginary Play,
Zoo,O-007465,Active,SD-000117,Exposure,
Zoo,O-007464,Active,SD-000165,Expressive Function,
Zoo,O-007463,Active,SD-000400,Receptive Function,
Zoo,O-007462,Active,SD-000139,Expressive,
Zoo,O-007461,Active,SD-000381,Receptive,
zō,O-007460,Active,SD-000065,CV - VI,
zŏ,O-007459,Active,SD-000065,CV - VI,
Zipper up,O-007458,Active,SD-000066,Daily living task,
zipper down,O-007457,Active,SD-000021,Activity,
Zip,O-007456,Active,SD-000131,Expressive,
Zip,O-007455,Active,SD-000371,Receptive,
Zingo Words,O-007454,Active,SD-000183,Game,
Zingo Pictures,O-007453,Active,SD-000183,Game,
Zingo Letters,O-007452,Active,SD-000183,Game,
Zig zag running,O-007451,Active,SD-000022,Activity,
Zig zag,O-007450,Active,SD-000244,Language exposure,
zī,O-007449,Active,SD-000065,CV - VI,
zĭ,O-007448,Active,SD-000065,CV - VI,
Zebra,O-007447,Active,SD-000175,Expressive visual only,
Zebra,O-007446,Active,SD-000135,Expressive,
Zebra,O-007445,Active,SD-000211,Identical,
zē,O-007444,Active,SD-000065,CV - VI,
zĕ,O-007443,Active,SD-000065,CV - VI,
zā,O-007442,Active,SD-000065,CV - VI,
ză,O-007441,Active,SD-000065,CV - VI,
z words,O-007440,Active,SD-000518,Words - VI,
Z,O-007439,Active,SD-000521,Write (with visual),
z,O-007438,Active,SD-000521,Write (with visual),
z,O-007437,Active,SD-000145,Expressive,
z,O-007436,Active,SD-000138,Expressive,
Z,O-007435,Active,SD-000138,Expressive,
Z,O-007434,Active,SD-000520,Write (no visual),
z,O-007433,Active,SD-000520,Write (no visual),
z,O-007432,Active,SD-000438,Single sound VI,
Z,O-007431,Active,SD-000479,Trace,
z,O-007430,Active,SD-000479,Trace,
z,O-007429,Active,SD-000387,Receptive,
z,O-007428,Active,SD-000424,Say (sound) th points,
z,O-007427,Active,SD-000380,Receptive,
Z,O-007426,Active,SD-000380,Receptive,
z,O-007425,Active,SD-000259,Matching,
Z,O-007424,Active,SD-000259,Matching,
z,O-007423,Active,SD-000445,Sound paired w gesture,
Yy,O-007422,Active,SD-000270,Matching different cases,
yū,O-007421,Active,SD-000065,CV - VI,
yŭ,O-007420,Active,SD-000065,CV - VI,
Your (item),O-007419,Active,SD-000085,Exp. My/Your,
Your (item),O-007418,Active,SD-000354,Rec. My/Your,
Your (generalised),O-007417,Active,SD-000354,Rec. My/Your,
Your (body part),O-007416,Active,SD-000085,Exp. My/Your,
Your (body part),O-007415,Active,SD-000354,Rec. My/Your,
Your,O-007414,Active,SD-000085,Exp. My/Your,
Your,O-007413,Active,SD-000354,Rec. My/Your,
young,O-007412,Active,SD-000456,Synonym,
you want to play with someone,O-007411,Active,SD-000419,Role projection,
you want to play by yourself,O-007410,Active,SD-000419,Role projection,
You,O-007409,Active,SD-000079,Exp. I/you (what),
You,O-007408,Active,SD-000080,Exp. I/You (who),
You,O-007407,Active,SD-000091,Exp. We/they/I/You,
you,O-007406,Active,SD-000392,Receptive,
you,O-007405,Active,SD-000382,Receptive,
you,O-007404,Active,SD-000154,Expressive,
you,O-007403,Active,SD-000266,Matching,
you,O-007402,Active,SD-000140,Expressive,
you,O-007401,Active,SD-000260,Matching,
Yoghurt,O-007400,Active,SD-000135,Expressive,
Yoghurt,O-007399,Active,SD-000175,Expressive visual only,
Yoga (various),O-007398,Active,SD-000022,Activity,
yō,O-007397,Active,SD-000065,CV - VI,
yŏ,O-007396,Active,SD-000065,CV - VI,
yī,O-007395,Active,SD-000065,CV - VI,
yĭ,O-007394,Active,SD-000065,CV - VI,
yesterday,O-007393,Active,SD-000437,Signicant activity,
Yesterday,O-007392,Active,SD-000132,Expressive,
Yes/no exposure,O-007391,Active,SD-000054,Communication opportunity,
Yes/no,O-007390,Active,SD-000057,Communication opportunity,
Yes/no,O-007389,Active,SD-000054,Communication opportunity,
yes,O-007388,Active,SD-000056,Communication opportunity,
Yes,O-007387,Active,SD-000054,Communication opportunity,
Yes,O-007386,Active,SD-000348,Question with visual,
Yes,O-007385,Active,SD-000349,Question without visual,
Yes,O-007384,Active,SD-000051,Comm. opportunity,
Yes,O-007383,Active,SD-000379,Receptive,
Yes,O-007382,Active,SD-000178,Factual,
Yes,O-007381,Active,SD-000109,Exposure,
Yes,O-007380,Active,SD-000106,Exposure,
Yes,O-007379,Active,SD-000334,Q/A,
Yes,O-007378,Active,SD-000236,Instructional gesture,
Yellow star,O-007377,Active,SD-000366,Receptive,
Yellow star,O-007376,Active,SD-000127,Expressive,
Yellow star,O-007375,Active,SD-000256,Matching,
Yellow square,O-007374,Active,SD-000366,Receptive,
Yellow square,O-007373,Active,SD-000127,Expressive,
Yellow square,O-007372,Active,SD-000256,Matching,
Yellow moon,O-007371,Active,SD-000366,Receptive,
Yellow moon,O-007370,Active,SD-000127,Expressive,
Yellow moon,O-007369,Active,SD-000256,Matching,
Yellow heart,O-007368,Active,SD-000366,Receptive,
Yellow heart,O-007367,Active,SD-000127,Expressive,
Yellow heart,O-007366,Active,SD-000256,Matching,
Yellow food,O-007365,Active,SD-000369,Receptive,
Yellow food,O-007364,Active,SD-000129,Expressive,
Yellow food,O-007363,Active,SD-000034,Brainstorming,
Yellow circle,O-007362,Active,SD-000366,Receptive,
Yellow circle,O-007361,Active,SD-000127,Expressive,
Yellow circle,O-007360,Active,SD-000256,Matching,
Yellow,O-007359,Active,SD-000496,Visual,
Yellow,O-007358,Active,SD-000244,Language exposure,
yellow,O-007357,Active,SD-000392,Receptive,
Yellow,O-007356,Active,SD-000128,Expressive,
yellow,O-007355,Active,SD-000154,Expressive,
yellow,O-007354,Active,SD-000266,Matching,
Yellow,O-007353,Active,SD-000368,Receptive,
Yellow,O-007352,Active,SD-000257,Matching,
